"PRODUCT_ID","NAME","REPLENISHMENT_DAYS","IS_DEFINED"
"100018825","Beautyllagen, suplement diety, 30 saszetek",30,"yes"
"100009835","Witamina D3K2 Forte Dr.Jacob's, suplement diety, krople doustne, 20 ml",NA,"no"
"100010756","Papilocare, żel dopochwowy, 7 aplikatorów po 5 ml",7,"yes"
"100012265","Colostrum 0,2g, suplement diety, 120 kapsułek",60,"yes"
"100038801","Bebilon Profutura Duo Biotik 3, mleko modyfikowane, po 1 roku, 800 g",7,"yes"
"100004935","Sanprobi IBS, suplement diety, 20 kapsułek",20,"yes"
"100037722","Health Labs OmegaMe, suplement diety, 120 kapsułek",120,"yes"
"100041182","Bebilon Prosyneo HA 2 mleko następne dla niemowląt po 6. miesiącu 400 g",7,"yes"
"100011556","Femibion 3 Karmienie Piersią, suplement diety, 28 tabletek + 28 kapsułek",28,"yes"
"100021218","Thyroset, suplement diety, 135 kapsułek",45,"yes"
"100010160","Acne-Derm, krem przeciwtrądzikowy i wybielający, 20 g",NA,"no"
"100032333","Ascolip Liposomal Vitamin C 1000 mg, suplement diety, smak cytryny i pomarańczy, 30 saszetek",30,"yes"
"100011555","Femibion 2 Ciąża, suplement diety, 56 tabletek + 56 kapsułek",56,"yes"
"100007295","Bioderma Sensibio H2O Płyn micelarny do twarzy Skóra wrażliwa, 2x500 ml",NA,"no"
"100020718","Cetaphil MD Dermoprotector, balsam, 500 ml",NA,"no"
"100011858","Cerave, nawilżająca emulsja do mycia, 473 ml",NA,"no"
"100000593","Bebilon Comfort 2 Żywność specjalnego przeznaczenia medycznego dla niemowląt od 6.miesiąca, 400 g",7,"yes"
"100002970","La Roche-Posay Effaclar Oczyszczający żel do twarzy, skóra tłusta, 400 ml",NA,"no"
"100001206","Olimp Chela-Calcium D3, suplement diety, 30 kapsułek",30,"yes"
"100020793","Dr.Mercola Liposomalna Witamina C, suplement diety, 180 kapsułek",90,"yes"
"600003061","RevitaLash Advanced odżywka do rzęs, 2 ml",NA,"no"
"100011862","Cerave, nawilżający krem do twarzy, 52 ml",NA,"no"
"100009533","La Roche-Posay Effaclar Duo + Krem zwalczający niedoskonałości, 40 ml",NA,"no"
"100011357","Stawy, Chrząstki, Mięśnie Pharmovit, suplement diety, 500 ml",33,"yes"
"100011860","Cerave Oczyszczający żel do mycia twarzy i ciała, 473 ml",NA,"no"
"100000835","BioGaia ProTectis Baby, suplement diety, krople 5 ml",NA,"no"
"100034675","SVR Topialyse Huile Lavante, olejek do mycia i kąpieli, 1000 ml",NA,"no"
"100020044","Solgar Kwas hialuronowy Kolagen Kompleks, suplement diety, 30 tabletek",30,"yes"
"100007470","Ovarin, suplement diety, 60 tabletek",30,"yes"
"100033816","WaterWipes BIO, chusteczki nawilżane wodne, 9-pack, 9 x 60 sztuk",NA,"no"
"100036517","Equazen, suplement diety, smak truskawkowy, 360 + 40 kapsułek do żucia",66,"yes"
"100001209","Olimp Chela-Ferr Forte, suplement diety, 30 kapsułek",30,"yes"
"600004112","SunewMed+ Essence+ nocne płatki intensywnie regeneracyjne, 60 szt.",NA,"no"
"100002341","Olimp Gold DHA, suplement diety, 30 kapsułek",30,"yes"
"100022230","Miod Manuka MGO 550+ nektarowy, 500 g",NA,"no"
"100050002","Capricare 1, mleko początkowe oparte na mleku kozim, 800 g",7,"yes"
"100041127","Cetaphil PS Lipoaktywny krem nawilżający, 100 g",NA,"no"
"100002283","Gelacet Plus, ze stewią, suplement diety, 21 saszetek",21,"yes"
"100004628","Prenatal duo, suplement diety, 30 tabletek. + 60 kapsułek",30,"yes"
"100011967","Avene Xera Calm A.D, balsam uzupełniający lipidy, 400 ml",NA,"no"
"100002181","Floradix Żelazo i Witaminy, suplement diety, 500 ml",25,"yes"
"100005038","Seni Soft Super, 90x60 cm, podkłady higieniczne, 30 sztuk",10,"yes"
"100048584","Nucleox Pro, suplement diety, 30 saszetek + 30 kapsułek",30,"yes"
"100022888","Lactibiane Cnd 10M, suplement diety, 30 kapsułek",30,"yes"
"100033271","Doctor Life, AHCC 630 mg Ekstrakt z grzybni Shiitake, suplement diety, 60 kapsułek",30,"yes"
"100038803","Bebilon Profutura Cesar Biotik 1, mleko początkowe, od urodzenia, 800 g",7,"yes"
"100011633","La Roche-Posay Lipikar AP+M Balsam regenerujący 400 ml",NA,"no"
"100001314","Colafit, 8 mg, suplement diety, 60 kostek",60,"yes"
"100004936","Sanprobi Super Formuła, suplement diety, 40 kapsułek",10,"yes"
"100018468","Sutricon CC, plastry silikonowe na blizny z witaminą E, 5sztuk",15,"yes"
"100013185","CeraVe Emulsja nawilżająca do twarzy i ciała, 473 ml",NA,"no"
"100006726","Physiogel hypoallergenic, żel do mycia twarzy do skóry suchej i wrażliwej 2 x 150 ml",NA,"no"
"100000589","Bebilon Pronutra Advance 2, mleko następne po 6. miesiącu, 800 g",14,"yes"
"100037156","NewMe (NewMe Day + NewMe Night), suplement diety, 60 kapsułek",30,"yes"
"100009327","Olimp Chela-Mag B6 Forte, suplement diety, 60 kapsułek",30,"yes"
"100036626","Health Labs MemoryMe, suplement diety, 90 kapsułek",30,"yes"
"100002565","Hylo-Gel, krople do oczu, 10 ml",90,"yes"
"100022221","Dicoflor Baby, suplement diety, 5 ml",20,"yes"
"100009203","Entitis, suplement diety, smak truskawkowy, 30 pastylek do ssania",30,"yes"
"100005745","Vichy Laboratoires Stress Resist Traitement Anti-Transpirant 72H, 50ml",NA,"no"
"100037721","Health Labs ShineMe, suplement diety, 30 saszetek",30,"yes"
"100009505","Capricare 1, mleko początkowe od urodzenia oparte na mleku kozim, 400 g",4,"yes"
"100005765","Vichy Dermablend, fluid korygujący 16 h, SPF 35, 25 Nude, 30 ml",NA,"no"
"100005428","Tena Pants Proskin Normal, majtki chłonne, large 100-135 cm, 30 sztuk",10,"yes"
"100021331","Bio-Quinon Active, suplement diety, 90 kapsułek",90,"yes"
"100049151","Collagen Drink Dr.Max, suplement diety, 30 saszetek",30,"yes"
"100018764","Pampers Premium Care, pieluchy, rozmiar 4, 9-14kg, 168 sztuk",30,"yes"
"100015481","Olimp Labs Nutramil Complex Protein, smak neutralny, 700 g",10,"yes"
"100038922","Uriage Bariéderm-CICA Daily Serum odbudowujące, 30 ml",NA,"no"
"100019698","Bebiko Pro+ 3 Mleko modyfikowane dla dzieci powyżej 1. roku życia, 700 g",NA,"no"
"100020039","Solgar Omega 3-6-9, suplement diety, 60 kapsułek",20,"yes"
"100018788","Pampers Aqua Pure, chusteczki nawilżane, 9x48 sztuki",50,"yes"
"100009429","Sutricon Plastry silikonowe na blizny 5x30 cm, 5 sztuk",15,"yes"
"100017251","Supramen, suplement diety, 120 kapsułek",30,"yes"
"100004164","Olimp Gold Omega 3, 65 % kwasów tłuszczowych, suplement diety, 60 kapsułek",60,"yes"
"100018763","Pampers Premium Care, pieluchy, rozmiar 2, 4-8 kg, 240 sztuk",30,"yes"
"100005821","Vichy Liftactiv Night Supreme, kompleksowa przeciwzmarszczkowa pielęgnacja ujędrniająca, 50 ml",NA,"no"
"100022650","Pueria Duo, suplement diety, 90 kapsułek",30,"yes"
"100022769","Bielenda Professional SupremeLab, intensywnie odżywczy krem na noc z ceramidami, 50 ml",NA,"no"
"100010475","Sanprobi Stress, suplement diety, 20 kapsułek",20,"yes"
"600003062","RevitaLash RevitaBrow Advanced odżywka do brwi, 3 ml",NA,"no"
"100017519","La Roche-Posay Hyalu B5 Serum przeciwzmarszczkowe, 30 ml",NA,"no"
"100013191","CeraVe, żel oczyszczający do mycia z ceramidami, 236 ml",NA,"no"
"100005777","Vichy Homme, dezodorant w kulce do skóry wrażliwej, dla mężczyzn , 50 ml",NA,"no"
"100008815","Flexus Shots, suplement diety, 20 fiolek x 10 ml",20,"yes"
"100003002","La Roche-Posay Lipikar Gel Lavant, żel myjący, 750 ml",NA,"no"
"100019415","Dr.Jacobs Witamina ADEK, suplement diety, 20 ml",200,"yes"
"100038397","Avene XeraCalm A.D Olejek oczyszczający uzupełniający lipidy, 400ml",NA,"no"
"100004271","Padma Basic, suplement diety, 100 kapsułek",25,"yes"
"100033375","Beta-Skin Natural Active Cream, krem do ciała, 500 ml",NA,"no"
"100000602","Bebilon AR, żywność specjalnego przeznaczenia medycznego, 400 g",5,"yes"
"100019364","Chlorofil, suplement diety,  500 ml",33,"yes"
"100041181","Bebilon Prosyneo HA 1 mleko początkowe dla niemowląt od urodzenia, 400 g",5,"yes"
"100033316","Jarrow Formulas Lactoferrin, suplement diety, 60 kapsułek",60,"yes"
"100002637","Colostrum z bananem Genactiv, suplement diety, 30 saszetek",15,"yes"
"100005758","Vichy Dercos Szampon przeciwłupieżowy, włosy normalne i przetłuszczające się, 390 ml",NA,"no"
"100003009","La Roche-Posay Lipikar Syndet Żel-krem do mycia twarzy i ciała, 400 ml",NA,"no"
"100011375","Bi.Bran 1000, suplement diety, 105 saszetek",35,"yes"
"100036690","Merz Spezial Dragees, suplement diety, 60 tabletek",30,"yes"
"100005742","Vichy Anti-Trace roll-on antyperspirant 48H, 50 ml",NA,"no"
"100009227","Olimp Whey Protein Complex 100%, proszek, smak waniliowy, 700g",7,"yes"
"100000596","Bebilon 3 Pronutra Advance, mleko modyfikowane po 1. roku życia, 800 g",14,"yes"
"100004607","Pregna DHA, suplement diety, 30 kapsułek",15,"yes"
"100019745","Hylo-Dual Intense, krople do oczu, 10 ml",90,"yes"
"100005744","Vichy Laboratoires Dezodorant 48-godzinna ochrona, 50 ml",NA,"no"
"100019565","Amocon Forte C suplement diety, 21 saszetek",21,"yes"
"100023088","Swing Maxi Flex, odciągacz pokarmu, 1 sztuka",NA,"no"
"100009802","Moller's Tran Norweski, suplement diety, smak owocowy, 250 ml",50,"yes"
"100013190","CeraVe, emulsja nawilżająca do mycia z ceramidami, 236 ml",NA,"no"
"100002211","Solgar włosy, skóra, paznokcie, suplement diety, 60 tabletek",40,"yes"
"100019363","La Roche-Posay Effaclar, skoncentrowane serum przeciw niedoskonałościom, 30 ml",NA,"no"
"100022897","Lactibiane Wzorcowy, suplement diety, 30 kapsułek",30,"yes"
"100018820","Licur 7000 z witaminą D, suplement diety, 30 kapsułek",30,"yes"
"100005022","Seni Active Normal. large 100-135 cm, elastyczne majtki chłonne, 30 sztuk",10,"yes"
"100037103","Pampers Active Baby 4 (9kg-14kg), pieluchy, 180 sztuk",30,"yes"
"100013793","Solgar Metylokobalamina, suplement diety, 30 kapsułek",30,"yes"
"100010464","Sutricon, silikonowe plastry do leczenia blizn 3x10 cm, 5 plastrów",15,"yes"
"100009613","Este Synergy, suplement diety, 28 ampułek po 25 ml",28,"yes"
"100002969","La Roche-Posay Effaclar, tonik zwężający pory, 200 ml",NA,"no"
"100013812","Solgar Magnez Cytrynian, suplement diety,  60 tabletek",30,"yes"
"100018821","Licur Max, suplement diety, 60 kapsułek",60,"yes"
"100010777","Dermedic Linum Emolient Baby, masło intensywnie natłuszczające, 225 g",NA,"no"
"100011161","Inofolic Combi, suplement diety, 60 kapsułek",30,"yes"
"100019057","Pampers Active Baby, pieluchy, rozmiar 5, 11-16 kg, 150 sztuk",30,"yes"
"100002407","Hairvity, suplement diety, 60 kapsułek",30,"yes"
"100003903","Nutridrink o smaku truskawkowym, 4x125 ml",2,"yes"
"100045563","Bebiko Junior 3 Odżywcza formuła na bazie mleka dla dzieci powyżej 1. roku życia, 600 g",14,"yes"
"100009379","La Roche-Posay Anthelios, bezzapachowy żel-krem do twarzy SPF 50+, 50 ml",NA,"no"
"100036520","Nutridrink Skin Repair, o smak truskawkowym, 4 x 200 ml",2,"yes"
"100011861","Cerave Balsam nawilżający, 340 g",NA,"no"
"100041172","RevitaLash Advanced odżywka do rzęs, 3,5 ml",NA,"no"
"100022160","Vichy Capital Soleil Fluid UV Age SPF 50, 40 ml",NA,"no"
"100009353","Vivomixx Micro, suplement diety, 30 kapsułek",10,"yes"
"100001451","Delicol, krople uśmierzające niemowlęcą kolkę, 15ml",21,"yes"
"100001399","Sesderma C-Vit, serum liposomowe, 30 ml",NA,"no"
"100011962","Avene Cicalfate+, regenerujący krem ochronny, 100 ml",NA,"no"
"100009732","Berimal Forte, suplement diety, 30 kapsułek",15,"yes"
"100021229","Femaltiker Plus, smak karmelowy, 12 saszetek",6,"yes"
"100004610","Pregna Plus, suplement diety, 30 kapsułek",30,"yes"
"100019833","Look Up, suplement diety, 720 mg, 60 kapsułek",30,"yes"
"100011366","Hylo-Dual, krople do oczu, 10 ml",90,"yes"
"100022265","Ducray Kelual DS, szampon do postępowania w ciężkich stanach łupieżowych, 100 ml",NA,"no"
"100016456","KenayAG, Ubichinol V100, aktywna forma koenzymu Q-10 100 mg, suplement diety, 60 kapsułek",60,"yes"
"100004370","Peptamen Junior, odżywczy preparat w proszku dla dzieci po 1. roku życia, smak waniliowy, 400 g",2,"yes"
"100009801","Moller's Tran Norweski, suplement diety, aromat cytrynowy, 250 ml",50,"yes"
"100019018","Pampers Premium Care, pieluchy, rozmiar 3, 6-10 kg, 204 sztuki",30,"yes"
"100009362","Innofer Baby, zawiesina doustna, 50 ml",30,"yes"
"100005776","Vichy Homme deo antyperspirant w kulce 72h, 50 ml",NA,"no"
"100010828","Avent Natural, butelka dla niemowląt 1m+ SCF033/17, 260 ml",NA,"no"
"100013166","CeraVe, krem nawilżający do twarzy z ceramidami, SPF 25, 52 ml",NA,"no"
"100003571","Mucovagin, żel dopochwowy z drobnocząsteczkowym kwasem hialuronowym, 25 ml + 7 jednorazowych aplikatorów",21,"yes"
"100034618","Jasnum, suplement diety, 30+30 kapsułek",30,"yes"
"100046028","Cerave, krem do twarzy nawilżający SPF 50, 52 ml",NA,"no"
"100021550","Calominal Duo, proszek do sporządzania zawiesiny doustnej, 150 g",15,"yes"
"100002563","Hylo-Comod, krople do oczu, 10 ml",90,"yes"
"100048663","Physiogel Hypoallergenic, krem do skóry suchej i wrażliwej, 75 ml",NA,"no"
"100009955","Medel Professional, inhalator kompresorowy",NA,"no"
"100003538","Mollers Forte z tranem, Omega-3, suplement diety, 112 kapsułek",56,"yes"
"100033308","Jarrow Formulas B-Right, suplement diety, 100 kapsułek",100,"yes"
"100017642","Eludril Classic, płyn do płukania jamy ustnej, 500 ml",14,"yes"
"100012847","Lierac Premium, krem odżywczy przeciwstarzeniowy, 50 ml",NA,"no"
"100036518","Equazen, suplement diety, smak cytrusowy, 200 ml",14,"yes"
"100046959","Physiogel C Nawilżanie Krem Intensywny, 100ml",NA,"no"
"100019299","Medela Swing Flex, laktator elektryczny, 1 sztuka",NA,"no"
"100018781","Pampers Premium Care, pieluchy, rozmiar 4, 9-14kg, 104 sztuki",30,"yes"
"100020428","Myvita silver kolagen beauty, suplement diety, 120 kapsułek",60,"yes"
"100013169","CeraVe, żel wygładzający do mycia, 236 ml",NA,"no"
"100048766","Reme Kolagenowa Formuła Piękna, pomarańcza-marakuja, 150 g",30,"yes"
"100013691","Lipid Cell, suplement diety, 60 kapsułek",30,"yes"
"100040251","Vitamin B Complex, suplement diety, 60 kapsułek",60,"yes"
"100001341","Genactiv Serum z Colostrum (Colosregen), 100 ml",NA,"no"
"100004727","Protifar, proszek, 225 g",NA,"no"
"100033455","Food Detective, test na nietolerancje pokarmowe do samodzielnego wykonania, 1 sztuka",NA,"no"
"100000753","Bioderma Cicabio Creme krem łagodząco-odbudowujący, 40 ml",NA,"no"
"100004393","Pharmaceris A Puri-Sensilium łagodząca pianka myjąca do twarzy i oczu, 150 ml",NA,"no"
"100012158","Olimp Whey Protein Complex 100%, suplement diety, smak czekoladowy, proszek 700 g",20,"yes"
"100001922","Emolium Dermocare, emulsja do ciała, 400 ml",NA,"no"
"100005816","Vichy Liftactiv Supreme krem na dzień sk.sucha, 50 ml",NA,"no"
"100009069","Tena Pants Proskin Normal, medium 80-110 cm, majtki chłonne, 30 sztuk",NA,"no"
"100011969","Avene Cleanance Hydra, krem łagodzący, 40 ml",NA,"no"
"100011789","Vichy Liftactiv Collagen Specialist Krem na dzień, 50 ml",NA,"no"
"100011626","Bebilon 1 Pronutra-Advance, mleko początkowe od urodzenia, 1100 g",10,"yes"
"100021425","Femaltiker plus, smak czekoladowy, proszek, 12 saszetek",10,"yes"
"100005747","Dercos Technique MEN Aminexil Clinical 5 Kuracja przeciw wypadaniu włosów, 21 x 6 ml",21,"yes"
"100037102","Pampers Active Baby 6 (13kg-18kg), pieluchy, 128 sztuk",40,"yes"
"100034088","Vichy Collagen Specjalist, krem przeciwzmarszczkowy na noc, 50ml",NA,"no"
"100049013","Oleofarm D-Vitum Forte Max 4000 j.m. K2, suplement diety, 120 kapsułek",120,"yes"
"100000896","Bio-Selen + Cynk, suplement diety, 60 tabletek",60,"yes"
"100017347","Colosregen, maska odżywczo-regenerująca do włosów i skóry głowy, 250ml",NA,"no"
"100018522","Dicopeg Junior Free, proszek, 30 saszetek x 5 g",10,"yes"
"100037112","Pampers Pants 5, Pieluchomajtki, 152 sztuki",50,"yes"
"100022233","Miod Manuka MGO 250+ nektarowy, 500 g",30,"yes"
"100008593","Olimp Nutramil Complex Protein. smak neutralny, 6 saszetek",5,"yes"
"100007772","Pharmaceris T Pure Retinol 0,3, krem na noc z retinolem, 40ml",NA,"no"
"100015663","Super Seni Plus large, pieluchomajtki, obwód 100 - 150 cm, 30 sztuk",10,"yes"
"100020429","Myvita silver kolagen arthro, suplement diety, 120 kapsułek",60,"yes"
"100022830","BioCardine Omega-3, 60 kapsułek",10,"yes"
"100005455","Multi Test, test do wykrywania narkotyków w moczu, 1 szt.",NA,"no"
"100036667","La Roche Toleriane Dermallegro Krem, 40 ml",NA,"no"
"100000572","Bebiko 2R Mleko następne dla niemowląt powyżej 6. miesiąca życia, 800 g (2 x 400 g)",8,"yes"
"100005814","Vichy Laboratoires Liftactiv Supreme Krem do skóry normalnej i mieszanej, 50 ml",NA,"no"
"100045561","Bebiko 2 Mleko następne dla niemowląt powyżej 6. miesiąca życia, 600 g",6,"yes"
"100009725","Promensil Forte, suplement diety, 30 tabletek",30,"yes"
"100000316","Aromactiv+, plastry aromatyczne dla dzieci, 5 sztuk",5,"yes"
"100008002","Resvega, suplement diety, 60 kapsułek",30,"yes"
"100006067","Tena Men Super Level 3 wkłady anatomiczne, 20 sztuk",10,"yes"
"100022892","Lactibiane Iki, suplement diety, 30 saszetek",30,"yes"
"100007653","Sutricon, silikonowy żel do leczenia blizn, 15 ml",NA,"no"
"100009800","Moller's Gold Tran Norweski, suplement diety, smak cytrynowy, 250 ml",50,"yes"
"100011505","Kerabione Mama, suplement diety, 60 tabletek",30,"yes"
"100000333","Artivit, suplement diety, 15 fiolek jednorazowego użytku",15,"yes"
"100022825","Humana 1, mleko początkowe, 750 g",5,"yes"
"100013625","Curaprox CS 5460 Ultra Soft, szczoteczka do zębów, 3 sztuki",NA,"no"
"100033283","Ostrovit Omega 3-6-9, suplement diety, 180 kapsułek",180,"yes"
"100037141","EstroVita Skin, suplement diety, 250 ml",50,"yes"
"100010603","La Roche-Posay Toleriane Sensitive, krem nawilżający, 40 ml",NA,"no"
"100009810","Microlife NC 200, elektroniczny termometr bezkontaktowy",NA,"no"
"100010762","Tena Men Pants Plus rozmiar S/M, bielizna chłonna, 30 sztuk",10,"yes"
"100005291","Sufrin, suplement diety, 60 kapsułek",10,"yes"
"100005753","Vichy Dercos Neogenic, szampon przywracający gęstość włosom, 400 ml",NA,"no"
"100009538","Pregna Start, suplement diety, 30 tabletek",30,"yes"
"100003892","Nutridrink o smaku owoców leśnych, 4x125 ml",2,"yes"
"100012614","Tena Slip ProSkin Plus, large 92-144 cm, pieluchomajtki, 30 sztuk",3,"yes"
"100036628","Health Labs MagneMe, suplement diety, 120 kapsułek",30,"yes"
"100009460","Mugga Strong Spray DEET 50%, spray przeciw komarom, kleszczom, 75 ml",NA,"no"
"100011652","Tena Lady Maxi Night, wkładki anatomiczne, 12 sztuk",4,"yes"
"100012271","Cetaphil EM Emulsja micelarna do mycia, 500 ml",NA,"no"
"100003322","Magne-B6 MAX, suplement diety, 50 tabletek powlekanych",25,"yes"
"100019419","Bebiko Pro+ 1 Mleko początkowe dla niemowląt od urodzenia, 700 g",5,"yes"
"100014749","Citogla Vis, suplement diety, 30 tabletek",15,"yes"
"100021174","Vitamin D 2000 IU Dr.Max, suplement diety, 60 kapsułek",60,"yes"
"100004446","Pharmaceris R Lipo-Rosalgin, multikojący krem do twarzy na dzień, SPF 15, 30 ml",NA,"no"
"100005963","Vitapil, suplement diety, 60 kapsułek",60,"yes"
"100005185","Solgar Folian (Metafolin) 400 µg, suplement diety, 50 tabletek",50,"yes"
"100000640","Bepanthen Baby, maść ochronna, 100 g",NA,"no"
"100002664","Inofem suplement diety, 60 saszetek",60,"yes"
"100000879","Bio-Oil, olejek na rozstępy i blizny, 200 ml",NA,"no"
"100014751","Keladerm, krem, 50 ml",NA,"no"
"100019777","**Humana 2, mleko nastepne po 6. miesiącu, 750 g",5,"yes"
"100008329","Inhalator kompresowy Diagnostic Econstellation Plus, 1 szt.",NA,"no"
"100012023","D-Vitum Forte 2000 j.m. K2, suplement diety, 120 kapsułek",120,"yes"
"100045388","Cetaphil DA Ultra Krem intensywnie nawilżający, 85 g",NA,"no"
"100009095","Bioderma Atoderm Huile De Douche, nawilżający olejek do kąpieli i pod prysznic, 1 L",NA,"no"
"100009678","Seni Active Normal, elastyczne majtki chłonne, extra large 120-160 cm, 30 sztuk",10,"yes"
"100009836","Witamina D3 Forte Dr.Jacob's, suplement diety, krople doustne, 20 ml",40,"yes"
"100050041","Vital Proteins Colagen Peptides Kolagen do picia, smak neutralny, suplement diety, 567 g",28,"yes"
"100007932","Nutrof Total z witaminą D3, suplement diety, 60 kapsułek",60,"yes"
"100002464","Hepaslimin suplement diety, cynara scolymus, ilex paraguariensis, cichorium intybus, curcuma longa, 30 tabletek.",5,"yes"
"100007064","Solgar Olej z Dzikiego Oregano, suplement diety, 60 kapsułek",60,"yes"
"100045560","Bebiko 1 Mleko początkowe dla niemowląt od urodzenia, 600 ml",5,"yes"
"100001501","Dermedic, Hydrain2, krem nawilżający o przedłużonym działaniu, skóra wrażliwa, 50 g",NA,"no"
"100008097","Seni Active Plus. extra large 120-160 cm, elastyczne majtki chłonne, 10 sztuk",3,"yes"
"100009230","Olimp L-carnitine 1500 Extreme Mega Caps, suplement diety, 120 kapsułek",60,"yes"
"100013155","CeraVe, balsam wygładzający do twarzy i ciała, z ceramidami i mocznikiem, 340 g",NA,"no"
"100020285","Vichy, dezodorant mineralny 48h, 50ml",NA,"no"
"100020768","Bebiko 1 Mleko początkowe dla niemowląt od urodzenia, 700 g",5,"yes"
"100013792","Solgar Witania Ospała Ashwagandha, suplement diety, 60 kapsułek",60,"yes"
"100034247","PC 30 V preparat przeciw odleżynom, 250 ml",NA,"no"
"100019058","Pampers Active Baby, pieluchy, rozmiar 3, 6-10 kg, 208 sztuk",30,"yes"
"100008660","Kerabione Booster, suplement diety, 30 kapsułek",30,"yes"
"100009774","Gilbert NaCl 0.9%, fizjologiczny roztwór soli, 100 ampułek po 5 ml",NA,"no"
"100018224","Tena Pants Proskin Super, majtki chłonne, rozmiar M, 80-110 cm, 30 sztuk",5,"yes"
"100022316","Miovelia Nac, 15 kapsułek",15,"yes"
"100023084","Cerave, nawilżający krem-pianka do mycia, 236 ml",NA,"no"
"100019832","Grinday Mind Up, suplement diety, 720 mg, 60 kapsułek",30,"yes"
"100015266","Hairgen, spray przeciw wypadaniu włosów, 125 ml",NA,"no"
"100022964","Lansinoh, laktator elektryczny na dwie piersi, 1 sztuka",NA,"no"
"100010477","Laktoferyna, suplement diety, 15 kapsułek",7,"yes"
"100004415","Pharmaceris H H-Stimuloforten preparat do intensywnej kuracji stymulacyjnej wzrost włosów 125 ml",NA,"no"
